Issue,Issue Number,Issue Title,Series Start Year,Issue Published Year,TBP,Availability,Storyline,Story Order,Status,cover_image_url
Mister Miracle,15,,1971,1973,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,52,,
Mister Miracle,16,,1971,1973,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,53,,
Mister Miracle,17,,1971,1974,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,54,,
Mister Miracle,18,,1971,1974,Mister Miracle by Jack Kirby TP,Hoopla,Fourth World Origins,55,,
DC Graphic Novel,4,,1983,1985,New Gods by Jack Kirby TP,Hoopla,Fourth World Origins,56,,
Adventure Comics,435,,1938,1974,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,1,,
Adventure Comics,436,,1938,1974,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,2,,
Adventure Comics,437,,1938,1975,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,3,,
Adventure Comics,441,,1938,1975,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,4,,
Adventure Comics,442,,1938,1975,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,5,,
Adventure Comics,443,,1938,1975,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,6,,
Adventure Comics,444,,1938,1976,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,7,,
Adventure Comics,445,,1938,1976,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,8,,
Adventure Comics,446,,1938,1976,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,9,,
Adventure Comics,447,,1938,1976,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,10,,
Adventure Comics,448,,1938,1976,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,11,,
Adventure Comics,449,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,12,,
Adventure Comics,450,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,13,,
Adventure Comics,451,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,14,,
Adventure Comics,452,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,15,,
Aquaman,57,,1962,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,16,,
Aquaman,58,,1962,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,17,,
Aquaman,59,,1962,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,18,,
Aquaman,60,,1962,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,19,,
Aquaman,61,,1962,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,20,,
Adventure Comics,453,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,21,,
Adventure Comics,454,,1938,1977,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,22,,
Adventure Comics,455,,1938,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,23,,
Aquaman,62,,1962,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,24,,
Aquaman,63,,1962,1978,Aquaman: Death of a Prince Deluxe Edition ,Infinite,Aquaman: Death of a Prince,25,,
New Teen Titans,1,,1980,1980,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,1,,
New Teen Titans,2,,1980,1980,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,2,,
New Teen Titans,3,,1980,1980,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,3,,
New Teen Titans,4,,1980,1980,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,4,,
New Teen Titans,5,,1980,1980,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,5,,
New Teen Titans,6,,1980,1981,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,6,,
New Teen Titans,7,,1980,1981,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,7,,
Tales of the Green Lantern Corps,1,,1981,1981,Tales of the Green Lantern Corps Vol. 1,Hoopla,Green Lantern: Tales of the Green Lantern Corps,1,,
Tales of the Green Lantern Corps,2,,1981,1981,Tales of the Green Lantern Corps Vol. 2,Hoopla,Green Lantern: Tales of the Green Lantern Corps,2,,
Tales of the Green Lantern Corps,3,,1981,1981,Tales of the Green Lantern Corps Vol. 3,Hoopla,Green Lantern: Tales of the Green Lantern Corps,3,,
The Flash,300,,1959,1981,The Flash: 80 Years of the Fastest Man Alive,Hoopla,The Flash Origins,5,,
Phantom Zone,1,,1982,1981,Superman: The Phantom Zone,Hoopla,Superman: Phantom Zone,1,,
Phantom Zone,2,,1982,1981,Superman: The Phantom Zone,Hoopla,Superman: Phantom Zone,2,,
Phantom Zone,3,,1982,1981,Superman: The Phantom Zone,Hoopla,Superman: Phantom Zone,3,,
Phantom Zone,4,,1982,1981,Superman: The Phantom Zone,Hoopla,Superman: Phantom Zone,4,,
Legion of Super-Heroes Vol. 2,284,,1980,1981,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,1,,
Legion of Super-Heroes Vol. 2,285,,1980,1981,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,2,,
Legion of Super-Heroes Vol. 2,286,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,3,,
Legion of Super-Heroes Vol. 2,287,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,4,,
Legion of Super-Heroes Vol. 2,288,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,5,,
Legion of Super-Heroes Vol. 2,289,,1980,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,6,,
Legion of Super-Heroes Vol. 2 Annual,1,,1982,1982,Legion of Super-Heroes: The Great Darkness Saga,Hoopla,Legion of Super-Heroes: The Great Darkness Saga,7,,
New Teen Titans,8,,1980,1981,The New Teen Titans Vol. 1,Hoopla,The New Teen Titans,8,,
New Teen Titans,9,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,9,,
New Teen Titans,10,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,10,,
New Teen Titans,11,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,11,,
New Teen Titans,12,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,12,,
New Teen Titans,13,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,13,,
New Teen Titans,14,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,14,,
New Teen Titans,15,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,15,,
New Teen Titans,16,,1980,1981,The New Teen Titans Vol. 2,Hoopla,The New Teen Titans,16,,
